project	tissue	method	recall	precision	dataset	positives	negatives	prior	log2_precision_over_prior
SRP012682	kidney	TMM	10	0.011021886317115415	SRP012682_kidney	767	220365	0.0034685165421558164	1.6679804817343158
SRP012682	liver	TMM	10	0.044731182795698925	SRP012682_liver	1061	238312	0.00443241301232804	3.3351166839187165
SRP012682	lung	TMM	10	0.005749128919860627	SRP012682_lung	311	117840	0.0026322248647916648	1.1270606420687728
SRP012682	muscle	TMM	10	0.075390625	SRP012682_muscle	1657	264040	0.006236427208436678	3.5955934679643664
SRP012682	nerve	TMM	10	0.010013351134846462	SRP012682_nerve	2031	289701	0.006961869112747316	0.5243782810144667
SRP012682	ovary	TMM	10	0.011461318051575931	SRP012682_ovary	346	143912	0.0023984805002148927	2.2565803480594298
SRP012682	pancreas	TMM	10	0.0046641791044776115	SRP012682_pancreas	59	54795	0.0010755824552448317	2.1165050616222087
SRP012682	prostate	TMM	10	0.007246376811594203	SRP012682_prostate	140	84704	0.0016500872188958558	2.134717544659524
SRP012682	skin	TMM	10	0.03233256351039261	SRP012682_skin	711	185757	0.0038129866786794516	3.0839945012217957
SRP012682	spleen	TMM	10	0.003187481889307447	SRP012682_spleen	121	50884	0.0023723164395647485	0.4261206833181388
SRP012682	testis	TMM	10	0.0200836820083682	SRP012682_testis	1347	247180	0.005419934252616416	1.8896765316739121
SRP012682	uterus	TMM	10	0.03724832214765101	SRP012682_uterus	1085	154897	0.006955930812529651	2.420859952776188
SRP012682	adipose_tissue	TMM_CLR	10	0.01559792027729636	SRP012682_adipose_tissue	93	59080	0.0015716627515927873	3.3109901010854523
SRP012682	blood	TMM_CLR	10	0.047196184838020065	SRP012682_blood	5692	414703	0.013539647236527551	1.8014800909965758
SRP012682	bone_marrow	TMM_CLR	10	0.00102880658436214	SRP012682_bone_marrow	51	50279	0.001013312139876813	0.0218931318069881
SRP012682	brain	TMM_CLR	10	0.02351313969571231	SRP012682_brain	4089	443669	0.009132165142778018	1.3644383399864455
SRP012682	breast	TMM_CLR	10	0.02669172932330827	SRP012682_breast	741	135945	0.005421184320266889	2.2997128143892613
SRP012682	cervix_uteri	TMM_CLR	10	0.01768774703557312	SRP012682_cervix_uteri	1847	210257	0.008707992305661374	1.02233825957614
SRP012682	colon	TMM_CLR	10	0.0012908777969018934	SRP012682_colon	59	59499	9.906309815641895e-4	0.3819327855120933
SRP012682	fallopian_tube	TMM_CLR	10	0.03015075376884422	SRP012682_fallopian_tube	50	42216	0.0011829839587375196	4.671691653974012
SRP012682	heart	TMM_CLR	10	0.05236593059936909	SRP012682_heart	529	164120	0.0032128953106304926	4.026682618356815
SRP012682	kidney	TMM_CLR	10	0.0121012101210121	SRP012682_kidney	767	220365	0.0034685165421558164	1.8027606539612848
SRP012682	liver	TMM_CLR	10	0.05326460481099656	SRP012682_liver	1061	238312	0.00443241301232804	3.5870129341389716
SRP012682	lung	TMM_CLR	10	0.025239338555265448	SRP012682_lung	311	117840	0.0026322248647916648	3.2613194567548285
SRP012682	muscle	TMM_CLR	10	0.091796875	SRP012682_muscle	1657	264040	0.006236427208436678	3.8796533772612856
SRP012682	nerve	TMM_CLR	10	0.01228133237479032	SRP012682_nerve	2031	289701	0.006961869112747316	0.8189204881067501
SRP012682	ovary	TMM_CLR	10	0.007879656160458453	SRP012682_ovary	346	143912	0.0023984805002148927	1.7160119666967268
SRP012682	pancreas	TMM_CLR	10	0.011194029850746268	SRP012682_pancreas	59	54795	0.0010755824552448317	3.3795394674560026
SRP012682	prostate	TMM_CLR	10	0.005233494363929146	SRP012682_prostate	140	84704	0.0016500872188958558	1.6652322613583035
SRP012682	skin	TMM_CLR	10	0.04561200923787529	SRP012682_skin	711	185757	0.0038129866786794516	3.5804203273412942
SRP012682	spleen	TMM_CLR	10	0.024291497975708502	SRP012682_spleen	121	50884	0.0023723164395647485	3.356083092252836
SRP012682	testis	TMM_CLR	10	0.01785216178521618	SRP012682_testis	1347	247180	0.005419934252616416	1.7197515302316
SRP012682	uterus	TMM_CLR	10	0.025279642058165547	SRP012682_uterus	1085	154897	0.006955930812529651	1.861660548120113
SRP012682	adipose_tissue	UQ_wTO	10	0.0013864818024263432	SRP012682_adipose_tissue	93	59080	0.0015716627515927873	-0.1808629952442223
SRP012682	blood	UQ_wTO	10	0.03301653912614169	SRP012682_blood	5692	414703	0.013539647236527551	1.2859987501110155
SRP012682	bone_marrow	UQ_wTO	10	0.001718213058419244	SRP012682_bone_marrow	51	50279	0.001013312139876813	0.7618302925044848
SRP012682	brain	UQ_wTO	10	0.011785384970032273	SRP012682_brain	4089	443669	0.009132165142778018	0.36797003095669895
SRP012682	breast	UQ_wTO	10	0.01904761904761905	SRP012682_breast	741	135945	0.005421184320266889	1.8129307076070087
SRP012682	cervix_uteri	UQ_wTO	10	0.012329931972789115	SRP012682_cervix_uteri	1847	210257	0.008707992305661374	0.5017528021847638
SRP012682	colon	UQ_wTO	10	7.376444553725104e-4	SRP012682_colon	59	59499	9.906309815641895e-4	-0.425422136545511
SRP012682	fallopian_tube	UQ_wTO	10	0.002175805047867711	SRP012682_fallopian_tube	50	42216	0.0011829839587375196	0.8791187860377535
SRP012682	heart	UQ_wTO	10	0.0038580246913580245	SRP012682_heart	529	164120	0.0032128953106304926	0.2639884040393974
SRP012682	kidney	UQ_wTO	10	0.006140765233821445	SRP012682_kidney	767	220365	0.0034685165421558164	0.8240996836515974
SRP012682	liver	UQ_wTO	10	0.01032258064516129	SRP012682_liver	1061	238312	0.00443241301232804	1.2196394664987806
SRP012682	lung	UQ_wTO	10	0.0028745644599303135	SRP012682_lung	311	117840	0.0026322248647916648	0.12706064206877288
SRP012682	muscle	UQ_wTO	10	0.011783854166666666	SRP012682_muscle	1657	264040	0.006236427208436678	0.9180198170583349
SRP012682	nerve	UQ_wTO	10	0.008067737039699657	SRP012682_nerve	2031	289701	0.006961869112747316	0.21268937063194254
SRP012682	ovary	UQ_wTO	10	0.008118433619866285	SRP012682_ovary	346	143912	0.0023984805002148927	1.759080688588613
SRP012682	pancreas	UQ_wTO	10	0.0010176390773405698	SRP012682_pancreas	59	54795	0.0010755824552448317	-0.07989215118129468
SRP012682	prostate	UQ_wTO	10	0.004830917874396135	SRP012682_prostate	140	84704	0.0016500872188958558	1.5497550439383676
SRP012682	skin	UQ_wTO	10	0.020785219399538105	SRP012682_skin	711	185757	0.0038129866786794516	2.4465645806065037
SRP012682	spleen	UQ_wTO	10	8.922053694541325e-4	SRP012682_spleen	121	50884	0.0023723164395647485	-1.4108487258944138
SRP012682	testis	UQ_wTO	10	0.007292289300657502	SRP012682_testis	1347	247180	0.005419934252616416	0.4280964464580382
SRP012682	uterus	UQ_wTO	10	0.02796420581655481	SRP012682_uterus	1085	154897	0.006955930812529651	2.0072658703670125
SRP012682	adipose_tissue	UQ	10	0.0034662045060658577	SRP012682_adipose_tissue	93	59080	0.0015716627515927873	1.14106509964314
SRP012682	blood	UQ	10	0.044680325845470256	SRP012682_blood	5692	414703	0.013539647236527551	1.7224495559057116
SRP012682	bone_marrow	UQ	10	7.363770250368188e-4	SRP012682_bone_marrow	51	50279	0.001013312139876813	-0.4605621288319632
SRP012682	brain	UQ	10	0.01788842784693407	SRP012682_brain	4089	443669	0.009132165142778018	0.9699977453147154
SRP012682	breast	UQ	10	0.027819548872180452	SRP012682_breast	741	135945	0.005421184320266889	2.3594190605135292
SRP012682	cervix_uteri	UQ	10	0.022569444444444444	SRP012682_cervix_uteri	1847	210257	0.008707992305661374	1.3739588685923358
SRP012682	colon	UQ	10	0.0012294074256208507	SRP012682_colon	59	59499	9.906309815641895e-4	0.31154345762069524
SRP012682	fallopian_tube	UQ	10	0.018276762402088774	SRP012682_fallopian_tube	50	42216	0.0011829839587375196	3.9495081139291517
SRP012682	heart	UQ	10	0.04292929292929293	SRP012682_heart	529	164120	0.0032128953106304926	3.7400165332073896
SRP012682	kidney	UQ	10	0.01086443079829948	SRP012682_kidney	767	220365	0.0034685165421558164	1.6472219215675181
SRP012682	liver	UQ	10	0.04688172043010753	SRP012682_liver	1061	238312	0.00443241301232804	3.4028612905545508
SRP012682	lung	UQ	10	0.006315331010452962	SRP012682_lung	311	117840	0.0026322248647916648	1.2625756127252539
SRP012682	muscle	UQ	10	0.078515625	SRP012682_muscle	1657	264040	0.006236427208436678	3.6541881218752144
SRP012682	nerve	UQ	10	0.009962000616206224	SRP012682_nerve	2031	289701	0.006961869112747316	0.5169608094519836
SRP012682	ovary	UQ	10	0.01181948424068768	SRP012682_ovary	346	143912	0.0023984805002148927	2.300974467417883
SRP012682	pancreas	UQ	10	0.0046641791044776115	SRP012682_pancreas	59	54795	0.0010755824552448317	2.1165050616222087
SRP012682	prostate	UQ	10	0.007246376811594203	SRP012682_prostate	140	84704	0.0016500872188958558	2.134717544659524
