project	tissue	method	log2_auprc_over_prior	dataset	auROC	sample_num	unfiltered_median_spearman	unfiltered_counts_sample_sums_median	unfiltered_counts_sample_sums_variance	counts_sample_sums_median	counts_sample_sums_variance	median_spearman
SRP017575	breast	RPKM	0.48494148692774897	SRP017575_breast	0.5868329566701576	52	0.8127863280061706	4743264.5	9933587660267.701	4743264.5	9933587660267.701	0.8127863280061706
SRP017631	lung	RPKM	0.04866336242506722	SRP017631_lung	0.5090704985980921	8	0.9201548221684936	38751698.5	442257294463807.1	38751698.5	442257294463807.1	0.9201548221684936
SRP017933	brain	RPKM	0.20736122140619104	SRP017933_brain	0.5316362034847906	25	0.7273783459580137	1180479	713157146314.0834	1180479	713157146314.0834	0.7273783459580137
SRP017959	brain	RPKM	0.32866051271334906	SRP017959_brain	0.551372850016449	5	0.7966378839992087	8504891	119399688816788.8	8504891	119399688816788.8	0.7966378839992087
SRP018254	blood	RPKM	0.1333157196329309	SRP018254_blood	0.5083193949236282	9	0.9758368407356841	98533071	102407538153042.11	98533071	102407538153042.11	0.9758368407356841
SRP018861	bone	RPKM	0.12764752605977175	SRP018861_bone	0.5319038194013892	21	0.9490740843284625	7118897	4545492237961.434	7118897	4545492237961.434	0.9490740843284625
SRP019241	stem_cell	RPKM	0.2990971689403532	SRP019241_stem_cell	0.5224390406040307	8	0.48511557096188607	6644114	5023982268676.019	7325888.5	5929047005176.839	0.6475018931684982
SRP019762	brain	RPKM	0.589218887465434	SRP019762_brain	0.5659023608917231	14	0.9302012121598267	14021091.5	1231174015556.2637	14021091.5	1231174015556.2637	0.9302012121598267
SRP019936	breast	RPKM	0.7725069174914809	SRP019936_breast	0.6066463296720741	32	0.655014660154117	10593486	26835339576058.645	10593486	26835339576058.645	0.655014660154117
SRP020492	blood	RPKM	0.5392222195629405	SRP020492_blood	0.5631244026293771	53	0.9757664705593362	11469549	2691983952604.537	11469549	2691983952604.537	0.9757664705593362
SRP021085	blood	RPKM	0.40941884126791733	SRP021085_blood	0.5427744563021939	30	0.9632492734389628	12437413	915285137703.9126	12437413	915285137703.9126	0.9632492734389628
SRP021134	stem_cell	RPKM	0.25371745207399576	SRP021134_stem_cell	0.5512546559700304	8	0.8963846401937632	9886405.5	438010865254.5	9886405.5	438010865254.5	0.8963846401937632
SRP021193	heart	RPKM	1.2004710564876306	SRP021193_heart	0.6211184088393544	40	0.49692973723525957	5236812.5	4353674480076.3286	6416126.5	4415663062974.061	0.93926487954579585
SRP021917	colon	RPKM	0.3789282234447926	SRP021917_colon	0.5252013335665815	15	0.8910983261521329	4186298	9839859488426.781	4186298	9839859488426.781	0.8910983261521329
SRP021924	brain	RPKM	0.14024714661361504	SRP021924_brain	0.5225191224476333	5	0.9531670823274834	9209843	4612142342549.8	9209843	4612142342549.8	0.9531670823274834
SRP022028	brain	RPKM	0.20309051855352594	SRP022028_brain	0.532948854719514	8	0.8889783948801231	17082347.5	59526538499059.64	17082347.5	59526538499059.64	0.8889783948801231
SRP022054	colon	RPKM	0.026108702788030347	SRP022054_colon	0.5114548607269782	13	0.4755287535628296	2398524.5	18435373181831.3	2696227	19232011467578.91	0.4883351893313418
SRP022054	liver	RPKM	0.24506492016516843	SRP022054_liver	0.5621837877874754	7	0.4502881807119347	2501685	17680256891628.777	2501685	21151512467973.906	0.49524435203401906
SRP022133	blood	RPKM	0.3206357269731643	SRP022133_blood	0.5265164742525599	25	0.9490749593182713	8389946	5146524410732.144	8389946	5146524410732.144	0.9490749593182713
SRP023262	breast	RPKM	0.537225456629507	SRP023262_breast	0.5721382447223569	80	0.825477907130113	6394828	20183436443780.85	6394828	20183436443780.85	0.825477907130113
SRP023550	stem_cell	RPKM	0.8992372020889278	SRP023550_stem_cell	0.6936353791386978	10	0.9323968192021694	14188159	13278607112082.768	14188159	13278607112082.768	0.9323968192021694
SRP024674	prostate	RPKM	0.5472892495487267	SRP024674_prostate	0.553653685516462	6	0.9508709581251219	5556741.5	3054282439372.8	5556741.5	3054282439372.8	0.9508709581251219
SRP026013	breast	RPKM	0.07157274187581199	SRP026013_breast	0.492148908168037	16	0.7253752459783309	13978926.5	18141671802406.062	13978926.5	18141671802406.062	0.7253752459783309
SRP026042	skin	RPKM	0.5427912186618008	SRP026042_skin	0.5747516801027182	84	0.8592319321269299	14704770.5	31252140153393.652	14704770.5	31252140153393.652	0.8592319321269299
SRP026048	brain	RPKM	0.1606874221214234	SRP026048_brain	0.5175628481911936	16	0.9590593479338199	39476394	22788592825429.33	39476394	22788592825429.33	0.9590593479338199
SRP026126	brain	RPKM	0.22318865736924487	SRP026126_brain	0.5342148226288543	192	0.8463534572356464	2866771.5	6059853991039.592	2866771.5	6059853991039.592	0.8463534572356464
SRP026126	intestine	RPKM	-0.011020509714517283	SRP026126_intestine	0.5170542158892246	226	0.8130549091006263	3275342.5	9124661290154.623	3275342.5	9124661290154.623	0.8130549091006263
SRP026208	heart	RPKM	0.5929124076859253	SRP026208_heart	0.5538808622897662	30	0.8983119323658928	4243044	968434411545.0758	4243044	968434411545.0758	0.8983119323658928
SRP026387	prostate	RPKM	0.4279885076631271	SRP026387_prostate	0.5731313520532701	13	0.8549684274972599	11032415	357430535600.2564	11032415	357430535600.2564	0.8549684274972599
SRP027258	prostate	RPKM	0.32301031961844945	SRP027258_prostate	0.5297434293599359	36	0.7327277043598688	14403779.5	2747473803393.711	14403779.5	2747473803393.711	0.7327277043598688
SRP027358	blood	RPKM	0.3878527172068201	SRP027358_blood	0.5267679369208125	135	0.9526743466625403	1935470	708694047549.0803	1935470	708694047549.0803	0.9526743466625403
SRP028180	lung	RPKM	0.5056627785192954	SRP028180_lung	0.5768785985122733	23	0.40444557507392037	47882495	950854876133644.9	48883874	949072913787359.4	0.41088279702792224
SRP028282	prostate	RPKM	0.8037945790696104	SRP028282_prostate	0.589737285534909	10	0.9778795663845126	9708364	2452499364186.278	9708364	2452499364186.278	0.9778795663845126
SRP028336	brain	RPKM	0.4386057059995854	SRP028336_brain	0.5712539530391965	36	0.87363031879921	5860354.5	5299789668701.476	5860354.5	5299789668701.476	0.87363031879921
SRP028336	kidney	RPKM	0.6093984212882211	SRP028336_kidney	0.6022408609464307	12	0.6260848923465075	5655338	2056510783755.182	5655338	2056510783755.182	0.6260848923465075
SRP028336	muscle	RPKM	0.2899265173759206	SRP028336_muscle	0.5461075003691178	12	0.8600958099124145	6212470.5	1050709406164.4242	6212470.5	1050709406164.4242	0.8600958099124145
SRP028554	blood	RPKM	0.2825451018535211	SRP028554_blood	0.5342484622043493	7	0.789755129211693	41452976	19923877375255.57	41452976	19923877375255.57	0.789755129211693
SRP028554	bone	RPKM	0.20200624650316523	SRP028554_bone	0.5202795449529063	5	0.8206103846902711	46217427	16768800665333.2	46217427	16768800665333.2	0.8206103846902711
SRP028594	blood	RPKM	0.3616251880198324	SRP028594_blood	0.5556322994878435	31	0.8297798389906037	23259653	209388278721786.12	23259653	209388278721786.12	0.8297798389906037
SRP028594	bone	RPKM	0.20908015669349533	SRP028594_bone	0.504630571438188	23	0.8128499259132486	43320672	181098334150961.03	43320672	181098334150961.03	0.8128499259132486
SRP028705	brain	RPKM	0.7501809680399119	SRP028705_brain	0.6025945100424934	9	0.9651559701820833	43022655	94926846307299.36	43022655	94926846307299.36	0.9651559701820833
SRP028738	brain	RPKM	0.7912565568281432	SRP028738_brain	0.6054513345071477	8	0.19714512872071838	1942569	1279971973825.1135	2208340	126323536607.98215	0.6153002756082868
SRP028912	cervix	RPKM	0.7048726836411027	SRP028912_cervix	0.6566442541198931	10	0.9122225962134994	33437872.5	12460782982409.6	33437872.5	12460782982409.6	0.9122225962134994
SRP029262	blood	RPKM	0.23318633985682177	SRP029262_blood	0.5440450691955796	88	0.9051348267313598	11680785	4778673205304.781	11680785	4778673205304.781	0.9051348267313598
SRP029281	blood	RPKM	0.17668677501990276	SRP029281_blood	0.5276239998455985	8	0.7774668981017561	33120733	187160236558561.7	33120733	187160236558561.7	0.7774668981017561
SRP029592	heart	RPKM	0.7411211576897132	SRP029592_heart	0.5917365947327831	10	0.8926156409839785	3578012.5	1991225844836.6777	3578012.5	1991225844836.6777	0.8926156409839785
SRP029888	stem_cell	RPKM	0.19697172820311723	SRP029888_stem_cell	0.5354909862573294	5	0.9383479486799243	3560305	525059549863	3560305	525059549863	0.9383479486799243
SRP029889	blood	RPKM	0.09968368867844361	SRP029889_blood	0.5114680261862077	6	0.8539137768692168	4154847.5	2402743055781.6	4154847.5	2402743055781.6	0.8539137768692168
SRP029889	brain	RPKM	0.31264828147477786	SRP029889_brain	0.5477820439196783	6	0.889343437372055	4682425	4409850157610.967	4682425	4409850157610.967	0.889343437372055
SRP029899	blood	RPKM	0.44539454597324196	SRP029899_blood	0.5117542498068701	18	0.9409852165959451	29076456.5	42485510260453.086	29076456.5	42485510260453.086	0.9409852165959451
SRP029990	blood	RPKM	0.2204244847849962	SRP029990_blood	0.5160813719038302	12	0.9342975214669625	14538395	26031585318912.242	14538395	26031585318912.242	0.9342975214669625
SRP030401	breast	RPKM	0.3920961995910807	SRP030401_breast	0.541755224901987	26	0.7576737581117509	9477471	12957319218971.422	9477471	12957319218971.422	0.7576737581117509
SRP030628	brain	RPKM	0.3603005979976952	SRP030628_brain	0.554549444762575	38	0.8797908817409645	9161996.5	1635040386545.4937	9161996.5	1635040386545.4937	0.8797908817409645
SRP031476	breast	RPKM	0.571437551663267	SRP031476_breast	0.5627626887138888	38	0.9642952253667867	8926111	70969647297946.44	8926111	70969647297946.44	0.9642952253667867
SRP032165	brain	RPKM	0.11878803815131665	SRP032165_brain	0.517357023510364	24	0.9527501871377801	13159269	5876995195203.036	13159269	5876995195203.036	0.9527501871377801
SRP032363	muscle	RPKM	0.36962711813032256	SRP032363_muscle	0.5580976638574988	9	0.9904672617094153	20029479	45243078939027.28	20029479	45243078939027.28	0.9904672617094153
SRP032539	brain	RPKM	0.4036620680306401	SRP032539_brain	0.5423945562351733	11	0.7095006904987466	8193251	28882600310361.816	8193251	28882600310361.816	0.7095006904987466
SRP032743	stem_cell	RPKM	0.06731654439772228	SRP032743_stem_cell	0.5025689931681327	27	0.9810381235232631	6882433	699050108592.9686	6882433	699050108592.9686	0.9810381235232631
SRP032775	blood	RPKM	0.41916188075824196	SRP032775_blood	0.5751227628811222	228	0.9403497927532615	6555220	10026825435728.727	6590489.5	9507516424722.559	0.9415205274543835
SRP032789	breast	RPKM	0.46477764340410377	SRP032789_breast	0.5715963623998483	20	0.7551032639971876	8424508.5	13991254934285.104	8424508.5	13991254934285.104	0.7551032639971876
SRP032798	brain	RPKM	0.28671939318082906	SRP032798_brain	0.5523103602219805	16	0.9030621396281984	15868681	4140654088200.3833	15868681	4140654088200.3833	0.9030621396281984
SRP032928	stem_cell	RPKM	0.07974957826240735	SRP032928_stem_cell	0.5172630118737054	7	0.9502934946303759	37445071	128377678981904.14	37445071	128377678981904.14	0.9502934946303759
SRP033078	breast	RPKM	0.44791616991452704	SRP033078_breast	0.5992347241531313	8	0.9161015922400557	8039031	44553978470698.79	8039031	44553978470698.79	0.9161015922400557
SRP033095	lung	RPKM	0.8826755577787828	SRP033095_lung	0.6312414885566326	15	0.8582866534354783	8425522	2718246969219.781	8425522	2718246969219.781	0.8582866534354783
