project	tissue	method	log2_auprc_over_prior	auROC	dataset	sample_num	median_spearman	counts_sample_sums_median	counts_sample_sums_variance
SRP012682	esophagus	CPM_quantile	0.10435126236041366	0.5327627996548472	SRP012682_esophagus	788	0.7675823718289441	18480702.5	33145227246645.367
SRP012682	fallopian_tube	CPM_quantile	0.11222666932751815	0.5307330438213285	SRP012682_fallopian_tube	7	0.8610602932806956	15715064	23996813030299.906
SRP012682	heart	CPM_quantile	0.31468294731333274	0.5515999229451154	SRP012682_heart	489	0.8295588197843352	20975683	39369470293725.52
SRP012682	kidney	CPM_quantile	0.3236325222443582	0.5512987725878702	SRP012682_kidney	36	0.7985829147013058	20364143.5	22272752539960.25
SRP012682	liver	CPM_quantile	0.43504801954721894	0.5662988461008354	SRP012682_liver	136	0.8611651199044741	18997677	43479116110667.48
SRP012682	lung	CPM_quantile	0.29209576335194776	0.5458320058273785	SRP012682_lung	374	0.8357935494798248	18762175	43149889822933.25
SRP012682	muscle	CPM_quantile	0.4313801169970435	0.5637581184632836	SRP012682_muscle	475	0.8758770579357273	21197643	41509031431766.15
SRP012682	nerve	CPM_quantile	0.29196922321482394	0.5417908463241474	SRP012682_nerve	335	0.8983040598566469	18058485	30490143371729.26
SRP012682	ovary	CPM_quantile	0.3774111712569723	0.5533425208695917	SRP012682_ovary	108	0.8929019389320334	17499807.5	16778882363032.21
SRP012682	pancreas	CPM_quantile	0.4068113130476735	0.5594941812296383	SRP012682_pancreas	197	0.9071555030828208	18877747	25331676437836.96
SRP012682	pituitary	CPM_quantile	0.29425101585969415	0.5498907279097693	SRP012682_pituitary	124	0.8847276308833996	17752415.5	17520465346450.992
SRP012682	prostate	CPM_quantile	0.2502933271415035	0.5416002694964845	SRP012682_prostate	119	0.8348637170990683	17531341	19232108739791.59
SRP012682	salivary_gland	CPM_quantile	0.1957106820252183	0.5406924676854032	SRP012682_salivary_gland	70	0.840206092880244	18360564	14433063078048.781
