project	tissue	method	recall	precision	dataset	log2_precision_over_prior
SRP010041	lung	UQ_wTO	5	0.15429484842536245	SRP010041_lung	0.5302825118021929
SRP010181	intestine	UQ_wTO	5	0.22332003183067012	SRP010181_intestine	1.063705284451781
SRP010374	cervix	UQ_wTO	5	0.1208758805920399	SRP010374_cervix	0.17811901749603265
SRP010483	brain	UQ_wTO	5	0.13532835830247436	SRP010483_brain	0.3410568079402551
SRP010644	blood	UQ_wTO	5	0.1944728948716073	SRP010644_blood	0.8641617077129496
SRP010961	blood	UQ_wTO	5	0.17248025156275756	SRP010961_blood	0.6910238049658957
SRP011085	epithelium	UQ_wTO	5	0.18058627419092535	SRP011085_epithelium	0.7572808597466514
SRP011546	stem_cell	UQ_wTO	5	0.20205623740611833	SRP011546_stem_cell	0.9193495052933781
SRP011903	brain	UQ_wTO	5	0.14061405248198824	SRP011903_brain	0.39633339715500837
SRP011924	heart	UQ_wTO	5	0.16050845009388992	SRP011924_heart	0.5872418687526669
SRP012015	heart	UQ_wTO	5	0.1621204177924749	SRP012015_heart	0.6016584159878913
SRP012167	umbilical_cord	UQ_wTO	5	0.18701751210462011	SRP012167_umbilical_cord	0.8077659863296648
SRP012557	brain	UQ_wTO	5	0.1429693058074771	SRP012557_brain	0.4202980645042137
SRP012557	breast	UQ_wTO	5	0.12577835929036707	SRP012557_breast	0.23547633924745023
SRP012557	epithelium	UQ_wTO	5	0.1361754966887417	SRP012557_epithelium	0.3500597468855141
SRP012585	stem_cell	UQ_wTO	5	0.1441132288695029	SRP012585_stem_cell	0.431795391327144
SRP012607	lung	UQ_wTO	5	0.1260375847975393	SRP012607_lung	0.23844663159434049
SRP012656	lung	UQ_wTO	5	0.2117977634932106	SRP012656_lung	0.9872799726675789
SRP013021	prostate	UQ_wTO	5	0.13387140902872777	SRP013021_prostate	0.3254404941812303
SRP013299	stem_cell	UQ_wTO	5	0.12303812360759969	SRP013299_stem_cell	0.20369802435332
SRP013402	skin	UQ_wTO	5	0.16099650267530394	SRP013402_skin	0.5916219666247918
SRP013456	kidney	UQ_wTO	5	0.15649210903873745	SRP013456_kidney	0.550682530096066
SRP013825	brain	UQ_wTO	5	0.1931095571095571	SRP013825_brain	0.854012183499388
SRP014146	skin	UQ_wTO	5	0.1380174385714637	SRP014146_skin	0.3694431813385853
SRP014320	blood	UQ_wTO	5	0.1527165932452276	SRP014320_blood	0.5154494426043728
SRP014320	blood_vessel	UQ_wTO	5	0.15661736052477757	SRP014320_blood_vessel	0.5518367571315145
SRP014320	breast	UQ_wTO	5	0.11443802425237053	SRP014320_breast	0.09915911276024869
SRP014320	cervix	UQ_wTO	5	0.18324032869487414	SRP014320_cervix	0.7783296734524197
SRP014320	colon	UQ_wTO	5	0.1619047619047619	SRP014320_colon	0.5997380360595685
SRP014320	liver	UQ_wTO	5	0.16125791675623832	SRP014320_liver	0.5939626071756585
SRP014320	muscle	UQ_wTO	5	0.12290726015902825	SRP014320_muscle	0.20216275613065113
SRP014320	skin	UQ_wTO	5	0.13344912859161565	SRP014320_skin	0.32088250245595945
SRP014320	stem_cell	UQ_wTO	5	0.13328401805697812	SRP014320_stem_cell	0.31909641637751307
SRP014428	brain	UQ_wTO	5	0.22885266392375397	SRP014428_brain	1.0990117030909985
SRP014428	colon	UQ_wTO	5	0.26223316912972083	SRP014428_colon	1.2954427970928895
SRP014428	stem_cell	UQ_wTO	5	0.1226700487561465	SRP014428_stem_cell	0.1993756596963233
SRP014620	stem_cell	UQ_wTO	5	0.14904771294716013	SRP014620_stem_cell	0.4803668557476326
SRP014675	brain	UQ_wTO	5	0.1599526675927355	SRP014675_brain	0.5822376706275016
SRP014688	tonsil	UQ_wTO	5	0.15127951713670537	SRP014688_tonsil	0.5018092811126249
SRP015360	spinal_cord	UQ_wTO	5	0.19884587289992695	SRP015360_spinal_cord	0.8962432365146281
SRP015439	blood	UQ_wTO	5	0.17359439859157205	SRP015439_blood	0.7003130143649825
SRP015640	kidney	UQ_wTO	5	0.13574244748418504	SRP015640_kidney	0.3454645483599823
SRP015640	spinal_cord	UQ_wTO	5	0.15248650332225913	SRP015640_spinal_cord	0.5132741720553741
SRP015668	brain	UQ_wTO	5	0.15294386472694035	SRP015668_brain	0.5175948525942796
SRP015670	spinal_cord	UQ_wTO	5	0.1424290119491199	SRP015670_spinal_cord	0.414835662291063
SRP016059	heart	UQ_wTO	5	0.1893879173290938	SRP016059_heart	0.8259369095060044
SRP016140	stem_cell	UQ_wTO	5	0.14458113765732927	SRP016140_stem_cell	0.4364719652901675
SRP016583	skin	UQ_wTO	5	0.154367246101792	SRP016583_skin	0.5309592892395533
SRP017138	blood	UQ_wTO	5	0.2451513020597042	SRP017138_blood	1.1982650417450962
SRP017411	cervix	UQ_wTO	5	0.13099106230612753	SRP017411_cervix	0.2940609957131833
SRP017575	breast	UQ_wTO	5	0.14383227380723046	SRP017575_breast	0.428980048841045
SRP017631	lung	UQ_wTO	5	0.1730718954248366	SRP017631_lung	0.6959640868151932
SRP017933	brain	UQ_wTO	5	0.1444901691815272	SRP017933_brain	0.4355639556043614
SRP017959	brain	UQ_wTO	5	0.14331518143416969	SRP017959_brain	0.4237840605425207
SRP018020	umbilical_cord	UQ_wTO	5	0.1425190844671017	SRP018020_umbilical_cord	0.415747738426859
SRP018254	blood	UQ_wTO	5	0.16582367501976694	SRP018254_blood	0.6342426159490471
SRP018525	umbilical_cord	UQ_wTO	5	0.13016436260025327	SRP018525_umbilical_cord	0.2849271280155861
SRP018861	bone	UQ_wTO	5	0.20192150646106546	SRP018861_bone	0.9183871964709757
SRP018883	epithelium	UQ_wTO	5	0.14846060606060607	SRP018883_epithelium	0.47467278106723676
SRP019241	stem_cell	UQ_wTO	5	0.12824463328808805	SRP019241_stem_cell	0.26349107156330864
SRP019762	brain	UQ_wTO	5	0.12148777092750909	SRP019762_brain	0.18540371569740777
SRP019936	breast	UQ_wTO	5	0.15136201997515866	SRP019936_breast	0.5025958647387868
SRP020491	tonsil	UQ_wTO	5	0.20216170690623245	SRP020491_tonsil	0.9201023681010476
SRP020492	blood	UQ_wTO	5	0.19616076245279626	SRP020492_blood	0.876629109318689
SRP021085	blood	UQ_wTO	5	0.1933292556346382	SRP021085_blood	0.8556525881188048
SRP021134	stem_cell	UQ_wTO	5	0.15692583003350594	SRP021134_stem_cell	0.5546754574285677
SRP021193	heart	UQ_wTO	5	0.1745635807065442	SRP021193_heart	0.7083452177088008
SRP021214	umbilical_cord	UQ_wTO	5	0.11973754329869438	SRP021214_umbilical_cord	0.16446819291503592
SRP021509	tonsil	UQ_wTO	5	0.19193565073453342	SRP021509_tonsil	0.8452153247489158
SRP021917	colon	UQ_wTO	5	0.19793503586276212	SRP021917_colon	0.8896196195221541
SRP021924	brain	UQ_wTO	5	0.12776821160376908	SRP021924_brain	0.2581215597714054
SRP022028	brain	UQ_wTO	5	0.14366298116298115	SRP022028_brain	0.42728097602279985
