project	tissue	method	log2_auprc_over_prior	log2_p20r	auROC	data_transformation	sample_num	counts_sample_sums_variance	median_spearman
SRP011924	heart	CLR	0.29695318543025884	0.4671950412059768	0.5555164551724374	asinh	29	9375311834522.139	0.8840661402814393
SRP012015	heart	CLR	0.3017229621733766	0.4552782639941009	0.5464914688877798	asinh	6	27117672581885.867	0.9112895613955416
SRP012167	umbilical_cord	CLR	0.29818760101092756	0.49927379682511697	0.5674366590515092	asinh	25	5799982030513.656	0.8935224844550735
SRP012557	brain	CLR	0.05103491651211907	0.15057688648897616	0.5268864698196012	asinh	8	28560144236246.98	0.6246097037367953
SRP012557	breast	CLR	0.10900764216393187	0.22499260239734453	0.5298259333249007	asinh	16	58472388647390.46	0.7940764450806773
SRP012557	epithelium	CLR	0.22445644630401196	0.3922440015629204	0.5648028751315906	asinh	14	153494927822163.22	0.991686228601531
SRP012585	stem_cell	CLR	0.06848697831823973	0.158179424018302	0.5234456380926531	asinh	5	1551352884029.3	0.3679661733707664
SRP012607	lung	CLR	0.2642347036395371	0.3813723272099303	0.5621920194712402	asinh	12	16499114755654.387	0.9521293172686756
SRP012656	lung	CLR	0.38702015196839046	0.6263689459473685	0.5945315987801223	asinh	36	5732909900087.133	0.6915380741065125
SRP013021	prostate	CLR	0.18475805745439886	0.3711864721356441	0.5592673206929248	asinh	15	569323016389530.5	0.697165008741557
SRP013299	stem_cell	CLR	0.11573515052540244	0.1902487235221135	0.513499359337402	asinh	19	1120239033725.339	0.7273337241848127
SRP013402	skin	CLR	0.1798909972065165	0.298275341734706	0.5502959913405903	asinh	5	1148890868172.5	0.9590638666825776
SRP013456	kidney	CLR	0.23741724661592417	0.38033018622988984	0.5574998045995017	asinh	6	442504412456.7	0.9344599404718462
SRP013825	brain	CLR	0.311660170609015	0.4911353383463535	0.5603175720220861	asinh	23	1153413698165.7234	0.856404725200316
SRP014146	skin	CLR	0.16861449409105336	0.31676766719996297	0.5476904921697496	asinh	15	7949516181969.543	0.9003468953908378
SRP014320	blood	CLR	0.3049782925634246	0.5194581024359572	0.5582243806106817	asinh	34	43394342514397.83	0.8832489433928564
SRP014320	blood_vessel	CLR	0.137409427785629	0.24260586810942256	0.5319591678294273	asinh	7	29329319882364.285	0.9684060535787834
SRP014320	breast	CLR	0.06467698069070528	0.16503933323822795	0.5111600320869911	asinh	6	1030250877051.1	0.9072100097101309
SRP014320	cervix	CLR	0.1469538476274293	0.2877544908647875	0.5388770503727756	asinh	8	5889890500118.696	0.9436618197662514
SRP014320	colon	CLR	0.14057836881240202	0.2612922500052513	0.5202575535222422	asinh	6	1213168636962.2666	0.993925000194255
SRP014320	liver	CLR	0.12490885734671354	0.2895416300403631	0.5382579016472846	asinh	9	28528964545511.36	0.9576178866346161
SRP014320	muscle	CLR	0.16767878767586536	0.26691688894956606	0.5296421336711319	asinh	10	2682327361548.7666	0.8448416148651794
SRP014320	skin	CLR	0.11262848432007858	0.17370939429164156	0.5351531638093547	asinh	6	25263107562665.5	0.8344050970556629
SRP014320	stem_cell	CLR	0.07575438860564153	0.19994290674512777	0.5308106462966862	asinh	13	34458880791022.6	0.8400777386675694
SRP014428	brain	CLR	0.19639189182147587	0.32589202060605427	0.5334987688784167	asinh	21	123995652131527.47	0.6485866138436749
SRP014428	colon	CLR	0.10965458837032145	0.15112236195799403	0.5089404547925369	asinh	28	32331538246607.676	0.6023915936905304
SRP014428	stem_cell	CLR	0.06284712289631209	0.07811094094122703	0.5026222933361169	asinh	8	5430442346804.286	0.5511803998019791
SRP014620	stem_cell	CLR	0.22910109463814593	0.436010779543484	0.54435092146241	asinh	15	71173661026559.27	0.8299871884283851
SRP014675	brain	CLR	0.3753583963657634	0.6345614832635601	0.5772551886866495	asinh	26	11253312405733.434	0.5182027457505445
SRP014688	tonsil	CLR	0.06625175635204303	0.16467238488146738	0.5293351226850973	asinh	5	375608619087708.5	0.7327226860888533
SRP015439	blood	CLR	0.2749449312319073	0.4886844529088426	0.5533033823435289	asinh	7	77726658664785.67	0.8111350514655906
SRP015640	kidney	CLR	0.08528989457841565	0.1227585746981477	0.5404920525616035	asinh	5	7119089150068.7	0.9679947021145808
SRP015668	brain	CLR	0.24749351531818461	0.40075166275271534	0.5543106302334309	asinh	32	940413146278.9637	0.8676602501752115
