project	sample	run	sharq_beta_tissue
SRP012682	SRS389811	SRR665538	Adipose Tissue
SRP012682	SRS333604	SRR608174	Brain
SRP012682	SRS625605	SRR1321786	Brain
SRP012682	SRS408382	SRR812697	Colon
SRP012682	SRS408381	SRR812673	Blood Vessel
SRP012682	SRS408236	SRR809470	Blood Vessel
SRP012682	SRS644099	SRR1435113	Thyroid
SRP012682	SRS408598	SRR816541	Pancreas
SRP012682	SRS389784	SRR660907	Blood Vessel
SRP012682	SRS389746	SRR665262	Muscle
SRP012682	SRS408908	SRR821364	Blood
SRP012682	SRS408636	SRR817142	Esophagus
SRP012682	SRS638257	SRR1407428	Adrenal Gland
SRP012682	SRS630079	SRR1362395	Blood
SRP012682	SRS408442	SRR814165	Blood Vessel
SRP012682	SRS629895	SRR1359280	Blood
SRP012682	SRS408173	SRR808614	Brain
SRP012682	SRS408459	SRR814491	Skin
SRP012682	SRS408690	SRR818086	Brain
SRP012682	SRS625607	SRR1321829	Esophagus
SRP012682	SRS374694	SRR612515	Blood Vessel
SRP012682	SRS634877	SRR1381865	Blood
SRP012682	SRS408716	SRR818469	Brain
SRP012682	SRS389970	SRR662665	Heart
SRP012682	SRS625564	SRR1321112	Testis
SRP012682	SRS649771	SRR1490613	Brain
SRP012682	SRS333389	SRR601359	Thyroid
SRP012682	SRS408725	SRR818530	Heart
SRP012682	SRS639485	SRR1419714	Brain
SRP012682	SRS408306	SRR810899	Testis
SRP012682	SRS650111	SRR1499215	Prostate
SRP012682	SRS648856	SRR1479912	Brain
SRP012682	SRS525361	SRR1093527	Brain
SRP012682	SRS650135	SRR1499740	Muscle
SRP012682	SRS524711	SRR1080509	Skin
SRP012682	SRS408655	SRR817563	Heart
SRP012682	SRS374872	SRR613550	Adipose Tissue
SRP012682	SRS389610	SRR658754	Adipose Tissue
SRP012682	SRS627204	SRR1333659	Lung
SRP012682	SRS649555	SRR1485997	Blood
SRP012682	SRS526100	SRR1097752	Brain
SRP012682	SRS625719	SRR1323896	Lung
SRP012682	SRS408656	SRR817587	Blood Vessel
SRP012682	SRS648870	SRR1480221	Nerve
SRP012682	SRS629867	SRR1358733	Esophagus
SRP012682	SRS333418	SRR601500	Brain
SRP012682	SRS389865	SRR663645	Pancreas
SRP012682	SRS644593	SRR1444283	Blood
SRP012682	SRS633869	SRR1374671	Blood Vessel
SRP012682	SRS627871	SRR1340574	Esophagus
SRP012682	SRS627207	SRR1333718	Blood
SRP012682	SRS389833	SRR663392	Thyroid
SRP012682	SRS648737	SRR1477405	Skin
SRP012682	SRS527979	SRR1105057	Muscle
SRP012682	SRS526649	SRR1101643	Adipose Tissue
SRP012682	SRS631252	SRR1365401	Skin
SRP012682	SRS629387	SRR1349479	Liver
SRP012682	SRS333429	SRR598196	Brain
SRP012682	SRS629961	SRR1360563	Brain
SRP012682	SRS528013	SRR1105489	Testis
SRP012682	SRS627767	SRR1338468	Uterus
SRP012682	SRS631333	SRR1366813	Blood
SRP012682	SRS629500	SRR1351907	Small Intestine
SRP012682	SRS629893	SRR1359238	Spleen
SRP012682	SRS374862	SRR613462	Heart
SRP012682	SRS374793	SRR612983	Blood Vessel
